Title,Tags_Atomized,Keywords_Cleaned
Change My Heart O God,"CCM, Choir, Choruses, Congregational, Jesus-Movement, Maranatha, Medium, Praise, Solo-Songs, Worship",CCM Choir Choruses Congregational Jesus-Movement Maranatha Medium Praise Solo-Songs Worship
Child Of The King,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Medium-Fast, Middle-Eastern, Praise, Solo-Songs, Traditional",Black-Gospel Choir Choruses Congregational Contemporary Medium-Fast Middle-Eastern Praise Solo-Songs Traditional
Clean,"Choir, Choruses, Congregational, Contemporary, Slow, Solo-Songs, Traditional, Worship",Choir Choruses Congregational Contemporary Slow Solo-Songs Traditional Worship
Close To Thee,"Altar-Songs, Black-Gospel, Choir, Choruses, Congregational, Contemporary, Energetic, Medium-Fast, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Altar-Songs Black-Gospel Choir Choruses Congregational Contemporary Energetic Medium-Fast Praise Solo-Songs Southern-Gospel Traditional Worship
Come Into His Presence,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Energetic, Medium-Slow, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary Energetic Medium-Slow Solo-Songs Southern-Gospel Traditional Worship
Come Let Us Sing,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Medium-Fast, Middle-Eastern, Praise, Solo-Songs, Traditional",Black-Gospel Choir Choruses Congregational Contemporary Medium-Fast Middle-Eastern Praise Solo-Songs Traditional
Come Unto Me And I Will Give You Rest,"Altar-Songs, Black-Gospel, Choir, Choruses, Congregational, Contemporary, Energetic, Medium-Fast, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Altar-Songs Black-Gospel Choir Choruses Congregational Contemporary Energetic Medium-Fast Praise Solo-Songs Southern-Gospel Traditional Worship
Coming Down Down Down,"Altar-Songs, Black-Gospel, Choir, Choruses, Congregational, Contemporary, High-Energy, Medium-Fast-Shouting, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Altar-Songs Black-Gospel Choir Choruses Congregational Contemporary High-Energy Medium-Fast-Shouting Praise Solo-Songs Southern-Gospel Traditional Worship
Coming Home,Altar-Songs,Altar-Songs
Completely Yes,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, High-Energy, Medium-Fast-Shouting, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary High-Energy Medium-Fast-Shouting Praise Solo-Songs Southern-Gospel Traditional Worship
Consecrate Me,"Choir, Choruses, Congregational, Contemporary, Slow, Solo-Songs, Traditional, Worship",Choir Choruses Congregational Contemporary Slow Solo-Songs Traditional Worship
Count Your Blessings,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Energetic, Medium-Fast, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary Energetic Medium-Fast Praise Solo-Songs Southern-Gospel Traditional Worship
Cover Me,"Choir, Choruses, Congregational, Contemporary, Slow, Solo-Songs, Traditional, Worship",Choir Choruses Congregational Contemporary Slow Solo-Songs Traditional Worship
Crown Him With Many Crowns,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Medium-Slow, Reverential, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary Medium-Slow Reverential Solo-Songs Southern-Gospel Traditional Worship
Dance Like David Danced,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Medium-Fast, Middle-Eastern, Praise, Solo-Songs, Traditional",Black-Gospel Choir Choruses Congregational Contemporary Medium-Fast Middle-Eastern Praise Solo-Songs Traditional
Dancin' On The Graves Of My Enemies,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, High-Energy, Medium-Fast-Shouting, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary High-Energy Medium-Fast-Shouting Praise Solo-Songs Southern-Gospel Traditional Worship
David Did Dance,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Medium-Fast, Middle-Eastern, Praise, Solo-Songs, Traditional",Black-Gospel Choir Choruses Congregational Contemporary Medium-Fast Middle-Eastern Praise Solo-Songs Traditional
DayStar,"Choir, Choruses, Congregational, Contemporary, Slow, Solo-Songs, Traditional, Worship",Choir Choruses Congregational Contemporary Slow Solo-Songs Traditional Worship
Days Of Elijah,Black-Gospel-Opera,Black-Gospel-Opera
Dear Jesus Abide With Me,Altar-Songs,Altar-Songs
Dedicate This Temple,"Choir, Choruses, Congregational, Contemporary, Slow, Solo-Songs, Traditional, Worship",Choir Choruses Congregational Contemporary Slow Solo-Songs Traditional Worship
Deep Way Down,"Black-Gospel, Fast-Funky",Black-Gospel Fast-Funky
Did You Come To Give The Lord The Praise?,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, High-Energy, Medium-Fast-Shouting, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary High-Energy Medium-Fast-Shouting Praise Solo-Songs Southern-Gospel Traditional Worship
Didn't I Walk On The Water,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Energetic, Medium-Slow, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary Energetic Medium-Slow Solo-Songs Southern-Gospel Traditional Worship
Do You Know Him,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Energetic, Medium-Fast, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary Energetic Medium-Fast Praise Solo-Songs Southern-Gospel Traditional Worship
Do You Know My Jesus Do You Know My Friend?,Altar-Songs,Altar-Songs
Do you know him,Black-Gospel-Opera,Black-Gospel-Opera
Don't Let His Name Go Down,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, High-Energy, Medium-Fast-Shouting, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary High-Energy Medium-Fast-Shouting Praise Solo-Songs Southern-Gospel Traditional Worship
Don't Let It Be Said Too Late Too Late,Altar-Songs,Altar-Songs
Don't Let Me Forget What The Lord Has Done For,Altar-Songs,Altar-Songs
Don't Let Me Stand Without A Star,"Choir, Choruses, Congregational, Contemporary, Slow, Solo-Songs, Traditional, Worship",Choir Choruses Congregational Contemporary Slow Solo-Songs Traditional Worship
Don't Let Me Stand Without A Star In My Crown,Altar-Songs,Altar-Songs
Don't Let Me Walk Too Far From Calvary,Altar-Songs,Altar-Songs
Don't Let The Devil Ride,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, High-Energy, Medium-Fast-Shouting, Praise, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary High-Energy Medium-Fast-Shouting Praise Solo-Songs Southern-Gospel Traditional Worship
Don't Turn Him Away,Altar-Songs,Altar-Songs
Down At The Cross,Altar-Songs,Altar-Songs
Down From His Glory,Altar-Songs,Altar-Songs
Draw Me Close To You,"Black-Gospel, Black-Gospel-Opera, Choir, Choruses, Congregational, Contemporary, Medium-Slow, Reverential, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Black-Gospel-Opera Choir Choruses Congregational Contemporary Medium-Slow Reverential Solo-Songs Southern-Gospel Traditional Worship
Draw Me Nearer,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Energetic, Medium-Slow, Solo-Songs, Southern-Gospel, Traditional, Worship",Black-Gospel Choir Choruses Congregational Contemporary Energetic Medium-Slow Solo-Songs Southern-Gospel Traditional Worship
Eastern Gate,Altar-Songs,Altar-Songs
End Of The Beginning,"Black-Gospel, Choir, Choruses, Congregational, Contemporary, Medium-Fast, Middle-Eastern, Praise, Solo-Songs, Traditional",Black-Gospel Choir Choruses Congregational Contemporary Medium-Fast Middle-Eastern Praise Solo-Songs Traditional
